,last_name,first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
767,Vargas, Miguel,678246,LAD,SL,Slider,1.2,2,141,13.0,36,0.212,0.333,0.297,25.0,19.4,14.9,0.233,0.341,0.286,23.1
768,Alvarez, Francisco,682626,NYM,FF,4-Seamer,-0.4,-1,169,24.4,36,0.29,0.677,0.443,32.4,25.0,23.1,0.236,0.534,0.374,50.0
769,Gallo, Joey,608336,MIN,SIFT,Sinker,-3.5,-4,119,13.8,36,0.182,0.364,0.293,23.9,22.2,22.9,0.212,0.49,0.326,48.0
770,Brown, Seth,664913,OAK,FF,4-Seamer,0.2,0,158,27.6,36,0.273,0.394,0.324,22.0,19.4,14.6,0.228,0.373,0.292,57.7
771,Cabrera, Miguel,408234,DET,SIFT,Sinker,-3.1,-4,121,20.2,36,0.156,0.156,0.253,13.0,13.9,18.5,0.2,0.257,0.254,40.7
772,Wade Jr., LaMonte,664774,SF,SIFT,Sinker,-0.4,-1,164,13.4,36,0.222,0.407,0.376,14.3,22.2,16.7,0.232,0.406,0.375,45.0
773,McKinstry, Zach,656716,DET,SL,Slider,-3.9,-4,113,11.7,36,0.125,0.219,0.188,30.5,38.9,31.1,0.174,0.312,0.243,31.6
774,Naylor, Josh,647304,CLE,CUKC,Curveball,0.6,1,161,16.6,36,0.257,0.429,0.304,39.1,41.7,33.3,0.207,0.411,0.273,45.0
775,d'Arnaud, Travis,518595,ATL,FF,4-Seamer,3.8,5,138,28.7,36,0.367,0.7,0.507,23.9,5.6,4.8,0.337,0.678,0.473,42.9
776,Guerrero Jr., Vladimir,665489,TOR,CUKC,Curveball,4.4,5,104,8.7,36,0.258,0.548,0.388,29.1,16.7,18.2,0.296,0.716,0.46,60.0
777,Kiermaier, Kevin,595281,TOR,SL,Slider,-2.0,-2,125,16.1,36,0.2,0.367,0.306,36.5,19.4,18.9,0.201,0.325,0.311,37.5
778,Marte, Ketel,606466,AZ,FC,Cutter,-1.3,-2,127,10.5,36,0.212,0.333,0.274,16.4,8.3,15.8,0.232,0.351,0.29,23.3
779,Wade Jr., LaMonte,664774,SF,CH,Changeup,0.6,1,160,13.0,35,0.129,0.161,0.193,34.7,31.4,23.4,0.165,0.22,0.228,30.0
780,Trevino, Jose,624431,NYY,FF,4-Seamer,-4.0,-5,133,26.2,35,0.156,0.156,0.214,9.5,14.3,14.7,0.234,0.307,0.276,40.7
781,Seager, Corey,608369,TEX,CH,Changeup,4.9,6,121,15.6,35,0.394,0.697,0.477,22.2,8.6,10.7,0.37,0.673,0.457,43.3
782,Conforto, Michael,624424,SF,CH,Changeup,0.6,1,157,13.7,35,0.267,0.467,0.338,30.1,20.0,14.0,0.245,0.405,0.323,36.0
783,Marte, Starling,516782,NYM,CUKC,Curveball,-3.5,-4,122,11.1,35,0.114,0.2,0.134,37.3,34.3,26.1,0.238,0.374,0.262,34.8
784,Julks, Corey,667452,HOU,SIFT,Sinker,-1.0,-1,136,14.8,35,0.206,0.412,0.273,12.3,17.1,24.0,0.265,0.39,0.293,35.7
785,Kiner-Falefa, Isiah,643396,NYY,SL,Slider,-0.8,-1,133,21.2,35,0.182,0.212,0.204,22.1,17.1,13.0,0.196,0.249,0.222,11.1
786,Sheets, Gavin,657757,CWS,CH,Changeup,0.1,0,167,20.8,35,0.188,0.281,0.246,27.4,14.3,9.8,0.226,0.311,0.271,33.3
787,Maton, Nick,665155,DET,CUKC,Curveball,0.5,1,168,16.7,35,0.207,0.379,0.326,45.5,34.3,20.0,0.193,0.338,0.306,29.4
788,Giménez, Andrés,665926,CLE,SIFT,Sinker,-1.2,-2,128,11.6,35,0.29,0.452,0.342,25.0,17.1,17.6,0.245,0.383,0.289,29.6
789,Riley, Austin,663586,ATL,CH,Changeup,2.4,3,120,8.6,35,0.267,0.467,0.369,35.8,28.6,22.7,0.231,0.421,0.336,40.0
790,Muncy, Max,571970,LAD,SIFT,Sinker,0.0,0,152,13.6,35,0.2,0.4,0.343,10.9,5.7,6.1,0.394,0.777,0.522,53.6
791,Ramírez, José,608070,CLE,CUKC,Curveball,-0.7,-1,158,12.7,35,0.294,0.5,0.33,14.3,11.4,10.3,0.291,0.462,0.314,41.9
792,Haniger, Mitch,571745,SF,SIFT,Sinker,-0.2,0,128,20.1,35,0.281,0.375,0.321,10.5,2.9,4.8,0.339,0.496,0.39,51.6
793,Nootbaar, Lars,663457,STL,CH,Changeup,-1.5,-2,109,12.9,35,0.182,0.212,0.204,21.2,17.1,18.8,0.227,0.294,0.256,22.2
794,Melendez, MJ,669004,KC,CH,Changeup,2.2,3,126,10.4,35,0.3,0.467,0.383,39.0,28.6,23.8,0.255,0.404,0.341,45.0
795,Gurriel, Yuli,493329,MIA,SIFT,Sinker,1.3,2,125,17.3,35,0.455,0.697,0.497,0.0,0.0,0.0,0.292,0.389,0.319,36.4
796,Freeman, Freddie,518692,LAD,FC,Cutter,0.9,1,125,9.4,35,0.345,0.448,0.389,23.0,17.1,24.0,0.346,0.592,0.43,29.2
797,Edman, Tommy,669242,STL,CH,Changeup,-0.1,0,104,11.1,35,0.235,0.353,0.247,25.0,22.9,32.0,0.23,0.367,0.251,33.3
798,Maldonado, Martín,455117,HOU,SIFT,Sinker,-0.8,-1,132,17.0,35,0.258,0.419,0.337,26.3,20.0,22.6,0.291,0.441,0.359,45.8
799,Taylor, Chris,621035,LAD,SL,Slider,0.3,0,137,18.1,35,0.182,0.394,0.319,45.5,45.7,26.7,0.168,0.347,0.244,29.4
800,Tellez, Rowdy,642133,MIL,CUKC,Curveball,0.2,0,120,10.5,35,0.152,0.424,0.289,33.3,42.9,34.1,0.188,0.373,0.263,27.8
801,Blackmon, Charlie,453568,COL,SL,Slider,3.1,4,141,15.9,35,0.267,0.567,0.379,27.9,17.1,14.0,0.242,0.554,0.368,32.0
802,Haase, Eric,606992,DET,SIFT,Sinker,-0.6,-1,132,17.0,35,0.273,0.364,0.303,20.3,17.1,20.0,0.262,0.375,0.3,44.4
803,McMahon, Ryan,641857,COL,SIFT,Sinker,-0.3,0,137,9.8,35,0.276,0.379,0.356,25.8,14.3,19.2,0.286,0.364,0.353,33.3
804,Nimmo, Brandon,607043,NYM,CUKC,Curveball,1.5,2,123,8.7,35,0.344,0.438,0.373,37.7,37.1,25.5,0.227,0.31,0.273,47.4
805,Hosmer, Eric,543333,CHC,FF,4-Seamer,-2.5,-4,164,40.3,35,0.206,0.353,0.251,26.1,28.6,21.7,0.202,0.38,0.258,33.3
806,Mateo, Jorge,622761,BAL,SIFT,Sinker,0.7,1,147,16.9,35,0.364,0.545,0.41,9.2,11.4,11.8,0.328,0.502,0.377,44.8
807,Mervis, Matt,670223,CHC,FF,4-Seamer,-1.9,-3,135,33.3,35,0.143,0.25,0.274,28.4,28.6,23.3,0.202,0.325,0.322,38.9
808,Taylor, Chris,621035,LAD,SIFT,Sinker,2.7,4,145,19.2,35,0.29,0.774,0.467,31.7,31.4,31.4,0.296,0.739,0.459,50.0
809,Freeman, Freddie,518692,LAD,CUKC,Curveball,0.3,0,148,11.2,35,0.242,0.333,0.277,20.0,22.9,21.6,0.208,0.3,0.246,28.0
810,Albies, Ozzie,645277,ATL,CUKC,Curveball,4.5,6,145,11.0,35,0.353,0.588,0.41,29.9,14.3,11.9,0.279,0.432,0.316,27.6
811,Marte, Ketel,606466,AZ,SIFT,Sinker,4.7,6,133,11.0,35,0.485,0.788,0.553,9.1,8.6,9.7,0.349,0.55,0.405,53.3
812,Walls, Taylor,670764,TB,SIFT,Sinker,1.5,2,129,13.5,35,0.226,0.419,0.346,23.6,25.7,25.0,0.22,0.434,0.324,45.5
813,Siri, Jose,642350,TB,SIFT,Sinker,1.3,2,130,19.4,35,0.3,0.5,0.399,21.1,25.7,32.1,0.251,0.442,0.338,31.8
814,Peralta, David,444482,LAD,SIFT,Sinker,-1.1,-1,100,14.0,35,0.25,0.344,0.277,6.3,8.6,13.0,0.326,0.558,0.397,76.7
815,Betts, Mookie,605141,LAD,FC,Cutter,0.4,1,132,10.0,35,0.179,0.25,0.269,13.2,5.7,10.0,0.265,0.44,0.372,40.7
816,India, Jonathan,663697,CIN,FC,Cutter,0.4,1,134,9.3,34,0.241,0.448,0.331,23.4,14.7,19.2,0.212,0.3,0.27,20.0
817,Stallings, Jacob,607732,MIA,SL,Slider,-3.6,-4,114,22.8,34,0.152,0.182,0.168,24.5,17.6,15.4,0.191,0.339,0.239,33.3
818,Realmuto, J.T.,592663,PHI,CH,Changeup,5.0,5,110,10.6,34,0.344,0.75,0.447,27.1,17.6,16.7,0.314,0.643,0.404,44.4
819,Madrigal, Nick,663611,CHC,SIFT,Sinker,0.5,1,128,22.4,34,0.355,0.452,0.384,9.3,11.8,13.8,0.25,0.311,0.283,48.1
820,Lindor, Francisco,596019,NYM,CUKC,Curveball,-1.2,-2,142,10.4,34,0.194,0.484,0.296,29.5,32.4,27.5,0.165,0.357,0.258,28.6
821,Albies, Ozzie,645277,ATL,SIFT,Sinker,2.0,3,127,9.6,34,0.364,0.576,0.413,21.7,11.8,12.9,0.276,0.525,0.35,37.9
